Date,Price,Open,High,Low,Change %
2018-06-01,1859.11,1859.11,1859.11,1859.11,0.23
2018-06-04,1861.43,1861.43,1861.43,1861.43,0.12
2018-06-05,1860.07,1860.07,1860.07,1860.07,-0.07
2018-06-06,1860.65,1860.65,1860.65,1860.65,0.03
2018-06-07,1860.24,1860.24,1860.24,1860.24,-0.02
2018-06-08,1857.43,1857.43,1857.43,1857.43,-0.15
2018-06-11,1859.17,1859.17,1859.17,1859.17,0.09
2018-06-12,1859.65,1859.65,1859.65,1859.65,0.03
2018-06-13,1859.49,1859.49,1859.49,1859.49,-0.01
2018-06-14,1863.22,1863.22,1863.22,1863.22,0.2
2018-06-15,1860.74,1860.74,1860.74,1860.74,-0.13
2018-06-18,1859.14,1859.14,1859.14,1859.14,-0.09
2018-06-19,1856.73,1856.73,1856.73,1856.73,-0.13
2018-06-20,1857.63,1857.63,1857.63,1857.63,0.05
2018-06-21,1854.76,1854.76,1854.76,1854.76,-0.15
2018-06-22,1855.62,1855.62,1855.62,1855.62,0.05
2018-06-25,1851.3,1851.3,1851.3,1851.3,-0.23
2018-06-26,1850.01,1850.01,1850.01,1850.01,-0.07
2018-06-27,1850.25,1850.25,1850.25,1850.25,0.01
2018-06-28,1847.94,1847.94,1847.94,1847.94,-0.12
2018-06-29,1848.98,1848.98,1848.98,1848.98,0.06
2018-07-02,1847.18,1847.18,1847.18,1847.18,-0.1
2018-07-03,1849.03,1849.03,1849.03,1849.03,0.1
2018-07-04,1849.72,1849.72,1849.72,1849.72,0.04
2018-07-05,1851.18,1851.18,1851.18,1851.18,0.08
2018-07-06,1853.24,1853.24,1853.24,1853.24,0.11
2018-07-08,1859.71,1859.71,1859.71,1859.71,0.35
2018-07-09,1854.73,1854.73,1854.73,1854.73,-0.27
2018-07-10,1856.79,1856.79,1856.79,1856.79,0.11
2018-07-11,1855.08,1855.08,1855.08,1855.08,-0.09
2018-07-12,1856.62,1856.62,1856.62,1856.62,0.08
2018-07-13,1857.67,1857.67,1857.67,1857.67,0.06
2018-07-16,1856.91,1856.91,1856.91,1856.91,-0.04
2018-07-17,1856.43,1856.43,1856.43,1856.43,-0.03
2018-07-18,1856.42,1856.42,1856.42,1856.42,-0.0
2018-07-19,1854.36,1854.36,1854.36,1854.36,-0.11
2018-07-20,1853.91,1853.91,1853.91,1853.91,-0.02
2018-07-23,1853.96,1853.96,1853.96,1853.96,0.0
2018-07-24,1855.87,1855.87,1855.87,1855.87,0.1
2018-07-25,1855.72,1855.72,1855.72,1855.72,-0.01
2018-07-26,1858.42,1858.42,1858.42,1858.42,0.15
2018-07-27,1860.39,1860.39,1860.39,1860.39,0.11
2018-07-30,1860.4,1860.4,1860.4,1860.4,0.0
2018-07-31,1860.88,1860.88,1860.88,1860.88,0.03
2018-08-01,1860.09,1860.09,1860.09,1860.09,-0.04
2018-08-02,1857.67,1857.67,1857.67,1857.67,-0.13
2018-08-03,1858.02,1858.02,1858.02,1858.02,0.02
2018-08-06,1857.93,1857.93,1857.93,1857.93,-0.0
2018-08-07,1859.71,1859.71,1859.71,1859.71,0.1
2018-08-08,1859.65,1859.65,1859.65,1859.65,-0.0
2018-08-09,1859.51,1859.51,1859.51,1859.51,-0.01
2018-08-10,1856.26,1856.26,1856.26,1856.26,-0.17
2018-08-13,1854.82,1854.82,1854.82,1854.82,-0.08
2018-08-14,1855.29,1855.29,1855.29,1855.29,0.03
2018-08-15,1853.55,1853.55,1853.55,1853.55,-0.09
2018-08-16,1853.96,1853.96,1853.96,1853.96,0.02
2018-08-17,1853.9,1853.9,1853.9,1853.9,-0.0
2018-08-20,1854.21,1854.21,1854.21,1854.21,0.02
2018-08-21,1855.67,1855.67,1855.67,1855.67,0.08
2018-08-22,1854.98,1854.98,1854.98,1854.98,-0.04
2018-08-23,1854.32,1854.32,1854.32,1854.32,-0.04
2018-08-24,1854.51,1854.51,1854.51,1854.51,0.01
2018-08-27,1856.05,1856.05,1856.05,1856.05,0.08
2018-08-28,1856.0,1856.0,1856.0,1856.0,-0.0
2018-08-29,1856.49,1856.49,1856.49,1856.49,0.03
2018-08-30,1855.11,1855.11,1855.11,1855.11,-0.07
2018-08-31,1853.42,1853.42,1853.42,1853.42,-0.09
2018-09-03,1852.72,1852.72,1852.72,1852.72,-0.04
2018-09-04,1851.24,1851.24,1851.24,1851.24,-0.08
2018-09-05,1850.89,1850.89,1850.89,1850.89,-0.02
2018-09-06,1850.49,1850.49,1850.49,1850.49,-0.02
2018-09-07,1850.77,1850.77,1850.77,1850.77,0.02
2018-09-10,1851.66,1851.66,1851.66,1851.66,0.05
2018-09-11,1851.49,1851.49,1851.49,1851.49,-0.01
2018-09-12,1852.78,1852.78,1852.78,1852.78,0.07
2018-09-13,1852.68,1852.68,1852.68,1852.68,-0.01
2018-09-14,1854.5,1854.5,1854.5,1854.5,0.1
2018-09-17,1855.03,1855.03,1855.03,1855.03,0.03
2018-09-18,1856.32,1856.32,1856.32,1856.32,0.07
2018-09-19,1856.59,1856.59,1856.59,1856.59,0.01
2018-09-20,1856.48,1856.48,1856.48,1856.48,-0.01
2018-09-21,1856.96,1856.96,1856.96,1856.96,0.03
2018-09-24,1855.21,1855.21,1855.21,1855.21,-0.09
2018-09-25,1854.25,1854.25,1854.25,1854.25,-0.05
2018-09-26,1854.22,1854.22,1854.22,1854.22,-0.0
2018-09-27,1853.18,1853.18,1853.18,1853.18,-0.06
2018-09-28,1849.57,1849.57,1849.57,1849.57,-0.19
2018-10-01,1850.4,1850.4,1850.4,1850.4,0.04
2018-10-02,1848.17,1848.17,1848.17,1848.17,-0.12
2018-10-03,1851.04,1851.04,1851.04,1851.04,0.16
2018-10-04,1848.51,1848.51,1848.51,1848.51,-0.14
2018-10-05,1847.09,1847.09,1847.09,1847.09,-0.08
2018-10-08,1844.9,1844.9,1844.9,1844.9,-0.12
2018-10-09,1845.05,1845.05,1845.05,1845.05,0.01
2018-10-10,1842.73,1842.73,1842.73,1842.73,-0.13
2018-10-11,1837.76,1837.76,1837.76,1837.76,-0.27
2018-10-12,1837.96,1837.96,1837.96,1837.96,0.01
2018-10-15,1836.95,1836.95,1836.95,1836.95,-0.05
2018-10-16,1840.63,1840.63,1840.63,1840.63,0.2
2018-10-17,1839.24,1839.24,1839.24,1839.24,-0.08
2018-10-18,1837.46,1837.46,1837.46,1837.46,-0.1
2018-10-19,1835.28,1835.28,1835.28,1835.28,-0.12
2018-10-22,1835.79,1835.79,1835.79,1835.79,0.03
2018-10-23,1832.51,1832.51,1832.51,1832.51,-0.18
2018-10-24,1830.9,1830.9,1830.9,1830.9,-0.09
2018-10-25,1831.33,1831.33,1831.33,1831.33,0.02
2018-10-26,1827.12,1827.12,1827.12,1827.12,-0.23
2018-10-29,1830.34,1830.34,1830.34,1830.34,0.18
2018-10-30,1831.17,1831.17,1831.17,1831.17,0.05
2018-10-31,1835.42,1835.42,1835.42,1835.42,0.23
2018-11-01,1839.78,1839.78,1839.78,1839.78,0.24
2018-11-02,1841.53,1841.53,1841.53,1841.53,0.1
2018-11-05,1841.86,1841.86,1841.86,1841.86,0.02
2018-11-06,1841.73,1841.73,1841.73,1841.73,-0.01
2018-11-07,1845.83,1845.83,1845.83,1845.83,0.22
2018-11-08,1844.62,1844.62,1844.62,1844.62,-0.07
