Date,Price,Open,High,Low,Change %
2018-06-26,45.37,45.37,45.37,45.37,-0.15%
2018-06-27,45.38,45.38,45.38,45.38,0.02%
2018-06-28,45.22,45.22,45.22,45.22,-0.35%
2018-06-29,45.38,45.38,45.38,45.38,0.35%
2018-07-02,45.18,45.18,45.18,45.18,-0.44%
2018-07-03,45.28,45.28,45.28,45.28,0.22%
2018-07-04,45.26,45.26,45.26,45.26,-0.04%
2018-07-05,45.29,45.29,45.29,45.29,0.07%
2018-07-06,45.35,45.35,45.35,45.35,0.13%
2018-07-09,45.65,45.65,45.65,45.65,0.66%
2018-07-10,45.75,45.75,45.75,45.75,0.22%
2018-07-11,45.28,45.28,45.28,45.28,-1.03%
2018-07-12,45.5,45.5,45.5,45.5,0.49%
2018-07-13,45.51,45.51,45.51,45.51,0.02%
2018-07-16,45.38,45.38,45.38,45.38,-0.29%
2018-07-17,45.58,45.58,45.58,45.58,0.44%
2018-07-18,45.66,45.66,45.66,45.66,0.18%
2018-07-19,45.54,45.54,45.54,45.54,-0.26%
2018-07-20,45.44,45.44,45.44,45.44,-0.22%
2018-07-23,45.29,45.29,45.29,45.29,-0.33%
2018-07-24,45.56,45.56,45.56,45.56,0.60%
2018-07-25,45.67,45.67,45.67,45.67,0.24%
2018-07-26,45.82,45.82,45.82,45.82,0.32%
2018-07-27,45.85,45.85,45.85,45.85,0.08%
2018-07-30,45.56,45.56,45.56,45.56,-0.63%
2018-07-31,45.48,45.48,45.48,45.48,-0.18%
2018-08-01,45.44,45.44,45.44,45.44,-0.09%
2018-08-02,45.34,45.34,45.34,45.34,-0.22%
2018-08-03,45.63,45.63,45.63,45.63,0.64%
2018-08-06,45.6,45.6,45.6,45.6,-0.07%
2018-08-07,45.67,45.67,45.67,45.67,0.15%
2018-08-08,45.57,45.57,45.57,45.57,-0.22%
2018-08-09,45.67,45.67,45.67,45.67,0.22%
2018-08-10,45.31,45.31,45.31,45.31,-0.79%
2018-08-13,44.94,44.94,44.94,44.94,-0.82%
2018-08-14,44.83,44.83,44.83,44.83,-0.24%
2018-08-15,44.16,44.16,44.16,44.16,-1.49%
2018-08-16,44.14,44.14,44.14,44.14,-0.05%
2018-08-17,44.1,44.1,44.1,44.1,-0.09%
2018-08-20,44.33,44.33,44.33,44.33,0.52%
2018-08-21,44.43,44.43,44.43,44.43,0.23%
2018-08-22,44.59,44.59,44.59,44.59,0.36%
2018-08-23,44.48,44.48,44.48,44.48,-0.25%
2018-08-24,44.58,44.58,44.58,44.58,0.22%
2018-08-27,44.86,44.86,44.86,44.86,0.63%
2018-08-28,45.01,45.01,45.01,45.01,0.33%
2018-08-29,44.98,44.98,44.98,44.98,-0.07%
2018-08-30,44.59,44.59,44.59,44.59,-0.87%
2018-08-31,44.34,44.34,44.34,44.34,-0.56%
2018-09-03,44.3,44.3,44.3,44.3,-0.09%
2018-09-04,43.73,43.73,43.73,43.73,-1.29%
2018-09-05,43.33,43.33,43.33,43.33,-0.91%
2018-09-06,43.16,43.16,43.16,43.16,-0.39%
2018-09-07,43.29,43.29,43.29,43.29,0.30%
2018-09-10,43.28,43.28,43.28,43.28,-0.02%
2018-09-11,43.17,43.17,43.17,43.17,-0.25%
2018-09-12,43.26,43.26,43.26,43.26,0.21%
2018-09-13,43.1,43.1,43.1,43.1,-0.37%
2018-09-14,43.22,43.22,43.22,43.22,0.28%
2018-09-17,43.22,43.22,43.22,43.22,0.00%
2018-09-18,43.47,43.47,43.47,43.47,0.58%
2018-09-19,43.76,43.76,43.76,43.76,0.67%
2018-09-20,44.04,44.04,44.04,44.04,0.64%
2018-09-21,44.16,44.16,44.16,44.16,0.27%
2018-09-24,43.8,43.8,43.8,43.8,-0.82%
2018-09-25,43.82,43.82,43.82,43.82,0.05%
2018-09-26,43.86,43.86,43.86,43.86,0.09%
2018-09-27,44.07,44.07,44.07,44.07,0.48%
2018-09-28,43.87,43.87,43.87,43.87,-0.45%
2018-10-01,43.7,43.7,43.7,43.7,-0.39%
2018-10-02,43.57,43.57,43.57,43.57,-0.30%
2018-10-03,43.86,43.86,43.86,43.86,0.67%
2018-10-04,43.44,43.44,43.44,43.44,-0.96%
2018-10-05,43.05,43.05,43.05,43.05,-0.90%
2018-10-08,42.74,42.74,42.74,42.74,-0.72%
2018-10-09,42.75,42.75,42.75,42.75,0.02%
2018-10-10,41.98,41.98,41.98,41.98,-1.80%
2018-10-11,41.54,41.54,41.54,41.54,-1.05%
2018-10-12,41.67,41.67,41.67,41.67,0.31%
2018-10-15,41.6,41.6,41.6,41.6,-0.17%
2018-10-16,42.27,42.27,42.27,42.27,1.61%
2018-10-17,42.15,42.15,42.15,42.15,-0.28%
2018-10-18,41.91,41.91,41.91,41.91,-0.57%
2018-10-19,41.64,41.64,41.64,41.64,-0.64%
2018-10-22,41.58,41.58,41.58,41.58,-0.14%
2018-10-23,40.86,40.86,40.86,40.86,-1.73%
2018-10-24,40.67,40.67,40.67,40.67,-0.47%
2018-10-25,41.01,41.01,41.01,41.01,0.84%
2018-10-26,40.68,40.68,40.68,40.68,-0.80%
2018-10-29,41.01,41.01,41.01,41.01,0.81%
2018-10-30,41.02,41.02,41.02,41.02,0.02%
2018-10-31,42.1,42.1,42.1,42.1,2.63%
2018-11-01,42.1,42.1,42.1,42.1,0.00%
2018-11-02,42.43,42.43,42.43,42.43,0.78%
2018-11-05,42.11,42.11,42.11,42.11,-0.75%
2018-11-06,41.89,41.89,41.89,41.89,-0.52%
2018-11-07,42.18,42.18,42.18,42.18,0.69%
2018-11-08,42.29,42.29,42.29,42.29,0.25%
2018-11-09,42.09,42.09,42.09,42.09,-0.46%
2018-11-12,41.56,41.56,41.56,41.56,-1.26%
2018-11-13,41.59,41.59,41.59,41.59,0.07%
2018-11-14,41.46,41.46,41.46,41.46,-0.31%
2018-11-15,41.26,41.26,41.26,41.26,-0.48%
2018-11-16,41.29,41.29,41.29,41.29,0.07%
