Date,Price,Open,High,Low,Change %
2018-07-09,103.682,103.682,103.682,103.682,0.13%
2018-07-10,104.349,104.349,104.349,104.349,0.64%
2018-07-11,102.714,102.714,102.714,102.714,-1.57%
2018-07-12,102.357,102.357,102.357,102.357,-0.35%
2018-07-13,102.555,102.555,102.555,102.555,0.19%
2018-07-16,101.743,101.743,101.743,101.743,-0.79%
2018-07-17,101.539,101.539,101.539,101.539,-0.20%
2018-07-18,102.042,102.042,102.042,102.042,0.50%
2018-07-19,101.355,101.355,101.355,101.355,-0.67%
2018-07-20,100.826,100.826,100.826,100.826,-0.52%
2018-07-23,100.262,100.262,100.262,100.262,-0.56%
2018-07-24,100.668,100.668,100.668,100.668,0.40%
2018-07-25,101.006,101.006,101.006,101.006,0.34%
2018-07-26,101.968,101.968,101.968,101.968,0.95%
2018-07-27,102.587,102.587,102.587,102.587,0.61%
2018-07-30,102.566,102.566,102.566,102.566,-0.02%
2018-07-31,102.391,102.391,102.391,102.391,-0.17%
2018-08-01,102.315,102.315,102.315,102.315,-0.07%
2018-08-02,101.745,101.745,101.745,101.745,-0.56%
2018-08-03,101.642,101.642,101.642,101.642,-0.10%
2018-08-06,100.631,100.631,100.631,100.631,-0.99%
2018-08-07,100.981,100.981,100.981,100.981,0.35%
2018-08-08,100.664,100.664,100.664,100.664,-0.31%
2018-08-09,100.332,100.332,100.332,100.332,-0.33%
2018-08-10,98.898,98.898,98.898,98.898,-1.43%
2018-08-13,97.383,97.383,97.383,97.383,-1.53%
2018-08-14,98.179,98.179,98.179,98.179,0.82%
2018-08-16,96.874,96.874,96.874,96.874,-1.33%
2018-08-17,96.91,96.91,96.91,96.91,0.04%
2018-08-20,97.688,97.688,97.688,97.688,0.80%
2018-08-21,98.717,98.717,98.717,98.717,1.05%
2018-08-22,99.216,99.216,99.216,99.216,0.51%
2018-08-23,99.082,99.082,99.082,99.082,-0.14%
2018-08-24,99.167,99.167,99.167,99.167,0.09%
2018-08-27,99.557,99.557,99.557,99.557,0.39%
2018-08-28,99.705,99.705,99.705,99.705,0.15%
2018-08-29,100.017,100.017,100.017,100.017,0.31%
2018-08-30,99.513,99.513,99.513,99.513,-0.50%
2018-08-31,98.965,98.965,98.965,98.965,-0.55%
2018-09-03,98.637,98.637,98.637,98.637,-0.33%
2018-09-04,97.786,97.786,97.786,97.786,-0.86%
2018-09-05,97.356,97.356,97.356,97.356,-0.44%
2018-09-06,96.381,96.381,96.381,96.381,-1.00%
2018-09-07,96.616,96.616,96.616,96.616,0.24%
2018-09-10,96.402,96.402,96.402,96.402,-0.22%
2018-09-11,97.177,97.177,97.177,97.177,0.80%
2018-09-12,97.395,97.395,97.395,97.395,0.22%
2018-09-13,97.772,97.772,97.772,97.772,0.39%
2018-09-14,98.14,98.14,98.14,98.14,0.38%
2018-09-17,98.343,98.343,98.343,98.343,0.21%
2018-09-18,99.022,99.022,99.022,99.022,0.69%
2018-09-19,99.564,99.564,99.564,99.564,0.55%
2018-09-20,99.707,99.707,99.707,99.707,0.14%
2018-09-21,99.958,99.958,99.958,99.958,0.25%
2018-09-24,99.817,99.817,99.817,99.817,-0.14%
2018-09-25,99.693,99.693,99.693,99.693,-0.12%
2018-09-26,98.853,98.853,98.853,98.853,-0.84%
2018-09-27,99.505,99.505,99.505,99.505,0.66%
2018-09-28,99.797,99.797,99.797,99.797,0.29%
2018-10-01,101.66,101.66,101.66,101.66,1.87%
2018-10-02,100.93,100.93,100.93,100.93,-0.72%
2018-10-03,101.81,101.81,101.81,101.81,0.87%
2018-10-04,100.705,100.705,100.705,100.705,-1.09%
2018-10-05,99.626,99.626,99.626,99.626,-1.07%
2018-10-08,99.044,99.044,99.044,99.044,-0.58%
2018-10-09,99.34,99.34,99.34,99.34,0.30%
2018-10-10,97.772,97.772,97.772,97.772,-1.58%
2018-10-11,95.016,95.016,95.016,95.016,-2.82%
2018-10-15,95.25,95.25,95.25,95.25,0.25%
2018-10-16,96.541,96.541,96.541,96.541,1.36%
2018-10-17,96.387,96.387,96.387,96.387,-0.16%
2018-10-18,95.767,95.767,95.767,95.767,-0.64%
2018-10-19,95.194,95.194,95.194,95.194,-0.60%
2018-10-22,94.748,94.748,94.748,94.748,-0.47%
2018-10-23,92.49,92.49,92.49,92.49,-2.38%
2018-10-24,90.751,90.751,90.751,90.751,-1.88%
2018-10-25,91.122,91.122,91.122,91.122,0.41%
2018-10-26,91.144,91.144,91.144,91.144,0.02%
2018-10-29,91.78,91.78,91.78,91.78,0.70%
2018-10-30,92.327,92.327,92.327,92.327,0.60%
2018-10-31,93.53,93.53,93.53,93.53,1.30%
2018-11-02,94.992,94.992,94.992,94.992,1.56%
2018-11-05,94.47,94.47,94.47,94.47,-0.55%
2018-11-06,94.822,94.822,94.822,94.822,0.37%
2018-11-07,93.87,93.87,93.87,93.87,-1.00%
2018-11-08,92.921,92.921,92.921,92.921,-1.01%
2018-11-12,90.242,90.242,90.242,90.242,-2.88%
2018-11-13,89.687,89.687,89.687,89.687,-0.62%
2018-11-14,89.728,89.728,89.728,89.728,0.05%
2018-11-15,89.041,89.041,89.041,89.041,-0.77%
2018-11-16,88.096,88.096,88.096,88.096,-1.06%
2018-11-19,86.709,86.709,86.709,86.709,-1.57%
2018-11-20,85.007,85.007,85.007,85.007,-1.96%
2018-11-21,85.695,85.695,85.695,85.695,0.81%
2018-11-22,84.909,84.909,84.909,84.909,-0.92%
2018-11-23,84.368,84.368,84.368,84.368,-0.64%
2018-11-26,86.077,86.077,86.077,86.077,2.03%
2018-11-27,87.286,87.286,87.286,87.286,1.40%
2018-11-28,87.827,87.827,87.827,87.827,0.62%
2018-11-29,88.226,88.226,88.226,88.226,0.45%
2018-11-30,87.553,87.553,87.553,87.553,-0.76%
2018-12-03,88.195,88.195,88.195,88.195,0.73%
2018-12-04,86.539,86.539,86.539,86.539,-1.88%
2018-12-05,86.029,86.029,86.029,86.029,-0.59%
2018-12-06,83.204,83.204,83.204,83.204,-3.28%
2018-12-07,83.515,83.515,83.515,83.515,0.37%
2018-12-10,81.79,81.79,81.79,81.79,-2.07%
2018-12-11,82.142,82.142,82.142,82.142,0.43%
2018-12-12,82.961,82.961,82.961,82.961,1.00%
2018-12-13,82.866,82.866,82.866,82.866,-0.11%
