Date,Price,Open,High,Low,Change %
2018-07-24,35.83,35.83,35.83,35.83,0.72%
2018-07-25,35.67,35.67,35.67,35.67,-0.45%
2018-07-26,35.78,35.78,35.78,35.78,0.29%
2018-07-27,36.09,36.09,36.09,36.09,0.87%
2018-07-30,36.1,36.1,36.1,36.1,0.03%
2018-07-31,36.04,36.04,36.04,36.04,-0.16%
2018-08-01,36.04,36.04,36.04,36.04,-0.02%
2018-08-02,35.85,35.85,35.85,35.85,-0.51%
2018-08-03,36.13,36.13,36.13,36.13,0.78%
2018-08-06,36.1,36.1,36.1,36.1,-0.07%
2018-08-07,36.2,36.2,36.2,36.2,0.28%
2018-08-08,36.17,36.17,36.17,36.17,-0.08%
2018-08-09,36.33,36.33,36.33,36.33,0.43%
2018-08-10,36.01,36.01,36.01,36.01,-0.88%
2018-08-13,35.86,35.86,35.86,35.86,-0.41%
2018-08-14,35.84,35.84,35.84,35.84,-0.07%
2018-08-15,35.5,35.5,35.5,35.5,-0.94%
2018-08-16,35.58,35.58,35.58,35.58,0.24%
2018-08-17,35.58,35.58,35.58,35.58,0.00%
2018-08-20,35.78,35.78,35.78,35.78,0.56%
2018-08-21,35.99,35.99,35.99,35.99,0.58%
2018-08-22,36.02,36.02,36.02,36.02,0.08%
2018-08-23,36.0,36.0,36.0,36.0,-0.05%
2018-08-24,36.17,35.83,35.83,35.83,0.47%
2018-08-27,36.41,36.0,36.0,36.0,0.68%
2018-08-28,36.4,36.4,36.4,36.4,-0.03%
2018-08-29,36.36,36.36,36.36,36.36,-0.12%
2018-08-30,36.15,36.36,36.36,36.36,-0.59%
2018-08-31,35.8,36.36,36.36,36.36,-0.96%
2018-09-03,35.71,35.71,35.71,35.71,-0.25%
2018-09-04,35.59,35.59,35.59,35.59,-0.34%
2018-09-05,35.32,35.32,35.32,35.32,-0.76%
2018-09-06,35.03,35.03,35.03,35.03,-0.81%
2018-09-07,34.96,34.96,34.96,34.96,-0.21%
2018-09-10,35.27,35.27,35.27,35.27,0.89%
2018-09-11,35.25,35.25,35.25,35.25,-0.05%
2018-09-12,35.44,35.44,35.44,35.44,0.52%
2018-09-13,35.27,35.27,35.27,35.27,-0.47%
2018-09-14,35.41,35.41,35.41,35.41,0.39%
2018-09-17,35.54,35.54,35.54,35.54,0.37%
2018-09-18,35.77,35.77,35.77,35.77,0.64%
2018-09-19,35.86,35.86,35.86,35.86,0.25%
2018-09-20,36.02,36.02,36.02,36.02,0.46%
2018-09-21,35.95,35.95,35.95,35.95,-0.20%
2018-09-24,35.85,35.85,35.85,35.85,-0.29%
2018-09-25,35.82,35.82,35.82,35.82,-0.09%
2018-09-26,35.92,35.92,35.92,35.92,0.30%
2018-09-27,35.95,35.95,35.95,35.95,0.06%
2018-09-28,35.77,35.77,35.77,35.77,-0.47%
2018-10-01,35.94,35.94,35.94,35.94,0.46%
2018-10-02,35.72,35.72,35.72,35.72,-0.61%
2018-10-03,35.81,35.81,35.81,35.81,0.26%
2018-10-04,35.52,35.52,35.52,35.52,-0.83%
2018-10-05,35.15,35.15,35.15,35.15,-1.04%
2018-10-08,34.89,34.89,34.89,34.89,-0.73%
2018-10-09,34.98,34.98,34.98,34.98,0.25%
2018-10-10,34.48,34.48,34.48,34.48,-1.43%
2018-10-11,33.91,33.91,33.91,33.91,-1.65%
2018-10-12,33.68,33.68,33.68,33.68,-0.68%
2018-10-15,33.35,33.35,33.35,33.35,-0.97%
2018-10-16,33.91,33.91,33.91,33.91,1.68%
2018-10-17,33.8,33.8,33.8,33.8,-0.32%
2018-10-18,33.8,33.81,33.81,33.81,-0.02%
2018-10-19,33.63,33.63,33.63,33.63,-0.49%
2018-10-22,33.31,33.63,33.63,33.63,-0.94%
2018-10-23,32.77,32.77,32.77,32.77,-1.63%
2018-10-24,32.67,32.67,32.67,32.67,-0.31%
2018-10-25,32.85,32.85,32.85,32.85,0.55%
2018-10-26,32.47,32.47,32.47,32.47,-1.16%
2018-10-29,32.81,32.81,32.81,32.81,1.05%
2018-10-30,32.75,32.75,32.75,32.75,-0.18%
2018-10-31,33.11,32.75,32.75,32.75,1.09%
2018-11-01,33.23,33.23,33.23,33.23,0.36%
2018-11-02,33.28,33.28,33.28,33.28,0.17%
2018-11-05,33.18,33.18,33.18,33.18,-0.31%
2018-11-06,33.32,33.32,33.32,33.32,0.44%
2018-11-07,33.71,33.71,33.71,33.71,1.15%
2018-11-08,33.61,33.61,33.61,33.61,-0.28%
2018-11-09,33.4,33.4,33.4,33.4,-0.64%
2018-11-12,33.22,33.22,33.22,33.22,-0.53%
2018-11-13,33.37,33.37,33.37,33.37,0.46%
2018-11-14,33.19,33.19,33.19,33.19,-0.56%
2018-11-15,33.1,33.1,33.1,33.1,-0.25%
2018-11-16,33.01,33.01,33.01,33.01,-0.29%
2018-11-19,32.93,32.93,32.93,32.93,-0.22%
2018-11-20,32.6,32.6,32.6,32.6,-1.02%
2018-11-21,32.94,32.94,32.94,32.94,1.03%
2018-11-22,32.76,32.76,32.76,32.76,-0.53%
2018-11-23,32.76,32.76,32.76,32.76,0.00%
2018-11-26,33.19,33.19,33.19,33.19,1.33%
2018-11-27,33.12,33.12,33.12,33.12,-0.21%
2018-11-28,33.2,33.2,33.2,33.2,0.22%
2018-11-29,33.3,33.3,33.3,33.3,0.33%
2018-11-30,33.06,33.06,33.06,33.06,-0.73%
2018-12-03,33.5,33.5,33.5,33.5,1.34%
2018-12-04,33.05,33.05,33.05,33.05,-1.35%
2018-12-05,32.81,32.81,32.81,32.81,-0.73%
2018-12-06,32.08,32.08,32.08,32.08,-2.23%
2018-12-07,32.25,32.25,32.25,32.25,0.52%
2018-12-10,31.6,31.6,31.6,31.6,-2.00%
2018-12-11,31.92,31.92,31.92,31.92,1.01%
2018-12-12,32.49,32.49,32.49,32.49,1.77%
2018-12-13,32.37,32.37,32.37,32.37,-0.37%
2018-12-14,32.15,32.15,32.15,32.15,-0.67%
2018-12-17,31.88,31.88,31.88,31.88,-0.83%
2018-12-18,31.72,31.72,31.72,31.72,-0.51%
2018-12-19,31.8,31.8,31.8,31.8,0.24%
2018-12-20,31.05,31.05,31.05,31.05,-2.33%
2018-12-21,31.04,31.04,31.04,31.04,-0.05%
2018-12-24,30.9,30.9,30.9,30.9,-0.46%
2018-12-26,30.89,30.89,30.89,30.89,0.00%
2018-12-27,30.47,30.47,30.47,30.47,-1.38%
2018-12-28,30.95,30.95,30.95,30.95,1.58%
2018-12-30,30.95,30.95,30.95,30.95,0.00%
